Alterações incorrectas a este ficheiro EuroMilhoes.log
podem comprometer o funcionamento do programa TUTILOTO, de AFAsoft.
Se necessário, obtenha um actualizado em www.afasoft.net
=====================================================
0401: 16 29 32 36 41 + 7 9
0402: 07 13 39 47 50 + 2 5
0403: 14 18 19 31 37 + 4 5
0404: 04 07 33 37 39 + 1 5
0405: 15 24 28 44 47 + 4 5
0406: 33 36 37 42 45 + 4 9
0407: 03 04 10 23 43 + 2 4
0408: 04 12 24 27 36 + 2 9
0409: 01 04 10 19 23 + 2 8
0410: 14 15 28 35 40 + 1 3
0411: 06 10 21 45 49 + 3 5
0412: 05 06 16 23 27 + 6 7
0413: 15 16 21 36 38 + 1 5
0414: 01 03 21 32 39 + 2 6
0415: 15 29 37 39 49 + 4 9
0416: 06 11 35 41 44 + 5 6
0417: 09 13 34 41 42 + 3 7
0418: 02 07 08 10 47 + 1 7
0419: 02 23 28 40 43 + 2 6
0420: 03 21 30 34 35 + 1 2
0421: 04 23 24 28 34 + 1 3
0422: 02 05 12 19 44 + 8 9
0423: 24 26 31 38 50 + 5 8
0424: 07 10 27 31 34 + 3 8
0425: 09 10 19 37 50 + 1 6
0426: 05 15 24 35 44 + 5 6
0427: 20 27 41 43 50 + 5 8
0428: 06 09 10 27 35 + 6 8
0429: 01 11 22 28 44 + 1 9
0430: 08 12 14 15 34 + 6 7
0431: 05 25 33 36 38 + 2 5
0432: 15 18 29 39 41 + 5 8
0433: 21 26 27 44 48 + 1 7
0434: 12 20 21 45 48 + 5 6
0435: 01 10 12 16 48 + 2 6
0436: 14 21 22 37 43 + 5 8
0437: 01 09 23 25 40 + 3 9
0438: 01 08 32 35 38 + 4 9
0439: 06 19 25 42 49 + 1 7
0440: 04 11 12 13 32 + 3 9
0441: 01 18 29 34 37 + 2 6
0442: 01 04 24 34 36 + 6 8
0443: 01 11 15 42 49 + 3 4
0444: 01 03 13 16 43 + 2 7
0445: 15 19 22 46 49 + 2 9
0446: 03 04 27 29 37 + 5 6
0447: 07 08 24 25 47 + 8 9
0501: 03 23 27 47 50 + 2 3
0502: 06 11 14 19 29 + 1 3
0503: 10 12 14 24 26 + 5 8
0504: 07 21 26 43 45 + 5 7
0505: 01 08 11 30 40 + 7 8
0506: 11 13 25 32 50 + 4 7
0507: 20 21 26 32 46 + 8 9
0508: 03 27 30 43 44 + 4 8
0509: 12 24 32 37 39 + 7 9
0510: 08 12 23 40 43 + 1 4
0511: 06 23 39 43 48 + 5 7
0512: 04 29 33 37 38 + 6 9
0513: 25 26 41 44 47 + 3 7
0514: 07 11 25 31 50 + 1 3
0515: 06 28 31 38 42 + 3 9
0516: 03 10 13 24 47 + 5 9
0517: 03 09 35 39 42 + 1 8
0518: 07 12 21 26 44 + 6 8
0519: 12 17 31 32 40 + 2 9
0520: 06 07 13 28 47 + 5 8
0521: 02 24 31 48 50 + 4 9
0522: 03 08 11 17 50 + 1 5
0523: 06 07 32 37 47 + 1 7
0524: 04 08 10 18 21 + 1 7
0525: 06 08 14 15 45 + 7 8
0526: 04 05 23 25 28 + 3 4
0527: 35 36 42 46 49 + 2 8
0528: 01 11 12 23 42 + 3 6
0529: 03 14 41 48 49 + 1 4
0530: 03 19 26 49 50 + 4 5
0531: 02 11 21 22 30 + 4 6
0532: 15 23 30 37 40 + 7 9
0533: 11 24 29 31 41 + 1 3
0534: 09 29 35 40 41 + 1 6
0535: 03 04 14 43 50 + 3 6
0536: 08 12 19 31 50 + 6 7
0537: 12 13 19 21 38 + 3 9
0538: 01 26 31 34 47 + 4 9
0539: 06 11 47 48 50 + 1 6
0540: 02 13 21 26 44 + 3 9
0541: 10 11 19 20 23 + 1 6
0542: 01 14 19 29 33 + 1 8
0543: 14 36 44 47 50 + 3 5
0544: 26 36 37 38 42 + 2 6
0545: 15 16 36 41 42 + 3 5
0546: 17 18 25 34 48 + 2 3
0547: 01 06 27 39 47 + 1 6
0548: 01 09 20 23 30 + 4 7
0549: 11 18 35 38 42 + 1 5
0550: 02 03 15 18 32 + 6 7
0551: 15 31 36 37 42 + 1 7
0552: 08 16 19 43 45 + 1 4
0601: 02 06 09 14 26 + 4 5
0602: 08 12 19 33 34 + 1 6
0603: 12 15 33 44 50 + 2 6
0604: 09 15 21 40 49 + 1 4
0605: 09 21 30 39 50 + 1 3
0606: 05 06 38 48 50 + 6 7
0607: 04 23 24 26 38 + 2 4
